,片名,国家,年代,导演,评分,人数,类型,短评
1,肖申克的救赎,美国,1994,弗兰克·德拉邦特,9.7,1746699,犯罪 剧情,希望让人自由。
2,霸王别姬,中国大陆 中国香港,1993,陈凯歌,9.6,1290699,剧情 爱情 同性,风华绝代。
3,阿甘正传,美国,1994,罗伯特·泽米吉斯,9.5,1346921,剧情 爱情,一部美国近现代史。
4,这个杀手不太冷,法国,1994,吕克·贝松,9.4,1541793,剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。
5,美丽人生,意大利,1997,罗伯托·贝尼尼,9.5,819858,剧情 喜剧 爱情 战争,最美的谎言。
6,泰坦尼克号,美国,1997,詹姆斯·卡梅隆,9.4,1284683,剧情 爱情 灾难,失去的才是永恒的。 
7,千与千寻,日本,2001,宫崎骏,9.3,1375715,剧情 动画 奇幻,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,美国,1993,史蒂文·斯皮尔伯格,9.5,692749,剧情 历史 战争,拯救一个人，就是拯救整个世界。
9,盗梦空间,美国 英国,2010,克里斯托弗·诺兰,9.3,1312274,剧情 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,美国 英国,2009,莱塞·霍尔斯道姆,9.3,889947,剧情,永远都不能忘记你所爱的人。
11,海上钢琴师,意大利,1998,朱塞佩·托纳多雷,9.3,1073218,剧情 音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
12,机器人总动员,美国,2008,安德鲁·斯坦顿,9.3,867559,科幻 动画 冒险,小瓦力，大人生。
13,三傻大闹宝莱坞,印度,2009,拉库马·希拉尼,9.2,1191540,剧情 喜剧 爱情 歌舞,英俊版憨豆，高情商版谢耳朵。
14,楚门的世界,美国,1998,彼得·威尔,9.3,938357,剧情 科幻,如果再也不能见到你，祝你早安，午安，晚安。
15,放牛班的春天,法国 瑞士 德国,2004,克里斯托夫·巴拉蒂,9.3,832841,剧情 音乐,天籁一般的童声，是最接近上帝的存在。 
16,星际穿越,美国 英国 加拿大 冰岛,2014,克里斯托弗·诺兰,9.3,955478,剧情 科幻 冒险,爱是一种力量，让我们超越时空感知它的存在。
17,大话西游之大圣娶亲,中国香港 中国大陆,1995,刘镇伟,9.2,934604,喜剧 爱情 奇幻 古装,一生所爱。
18,熔炉,韩国,2011,黄东赫,9.3,565131,剧情,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
19,龙猫,日本,1988,宫崎骏,9.2,808421,动画 奇幻 冒险,人人心中都有个龙猫，童年就永远不会消失。
20,无间道,中国香港,2002,刘伟强,9.2,766380,剧情 犯罪 悬疑,香港电影史上永不过时的杰作。
21,教父,美国,1972,弗朗西斯·福特·科波拉,9.3,592701,剧情 犯罪,千万不要记恨你的对手，这样会让你失去理智。
22,疯狂动物城,美国,2016,拜伦·霍华德,9.2,1095694,喜剧 动画 冒险,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
23,当幸福来敲门,美国,2006,加布里尔·穆奇诺,9.1,963706,剧情 传记 家庭,平民励志片。 
24,怦然心动,美国,2010,罗伯·莱纳,9.0,1093315,剧情 喜剧 爱情,真正的幸福是来自内心深处。
25,触不可及,法国,2011,奥利维·那卡什,9.2,630725,剧情 喜剧,满满温情的高雅喜剧。
26,蝙蝠侠：黑暗骑士,美国 英国,2008,克里斯托弗·诺兰,9.2,643914,剧情 动作 科幻 犯罪 惊悚,无尽的黑暗。
27,活着,中国大陆 中国香港,1994,张艺谋,9.2,497480,剧情 历史 家庭,张艺谋最好的电影。
28,控方证人,美国,1957,比利·怀尔德,9.6,233589,剧情 犯罪 悬疑,比利·怀德满分作品。
29,乱世佳人,美国,1939,维克多·弗莱明,9.3,429487,剧情 历史 爱情 战争,Tomorrow is another day.
30,少年派的奇幻漂流,美国 中国台湾 英国 加拿大,2012,李安,9.0,929916,剧情 奇幻 冒险,瑰丽壮观、无人能及的冒险之旅。
31,摔跤吧！爸爸,印度,2016,涅提·蒂瓦里,9.0,961390,剧情 传记 运动 家庭,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
32,指环王3：王者无敌,美国 新西兰,2003,彼得·杰克逊,9.2,473416,剧情 动作 奇幻 冒险,史诗的终章。
33,飞屋环游记,美国,2009,彼特·道格特,9.0,851829,剧情 喜剧 动画 冒险,最后那些最无聊的事情，才是最值得怀念的。 
34,鬼子来了,中国大陆,2000,姜文,9.2,399207,剧情 历史 战争,对敌人的仁慈，就是对自己残忍。
35,十二怒汉,美国,1957,Sidney,9.4,285080,剧情,1957年的理想主义。 
36,寻梦环游记,美国,2017,李·昂克里奇,9.1,916074,喜剧 动画 奇幻 音乐,死亡不是真的逝去，遗忘才是永恒的消亡。
37,末代皇帝,英国 意大利 中国大陆 法国,1987,贝纳尔多·贝托鲁奇,9.2,419118,剧情 传记 历史,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
38,天空之城,日本,1986,宫崎骏,9.1,546840,动画 奇幻 冒险,对天空的追逐，永不停止。 
39,天堂电影院,意大利 法国,1988,朱塞佩·托纳多雷,9.2,443634,剧情 爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
40,大话西游之月光宝盒,中国香港 中国大陆,1995,刘镇伟,9.0,755163,喜剧 爱情 奇幻 古装,旷古烁今。
41,哈尔的移动城堡,日本,2004,宫崎骏,9.0,620563,动画 奇幻 冒险,带着心爱的人在天空飞翔。
42,罗马假日,美国,1953,威廉·惠勒,9.0,628483,喜剧 剧情 爱情,爱情哪怕只有一天。
